Sample,REC31812,REC31828,40592-V08H,40021-V08H,40600-V08H,40601-V08H,40607-V08H
COVID-345,2289.5,1447,1995,4444,3773.5,11470,18067.5
COVID-483,2754,1682,2502,18402,4402,10901,22852.5
COVID-494,1927.5,5268,984,4790,4787,17929.5,14345
COVID-505,2397,2928,964,6720,1296,1624,19209
COVID-516,1176.5,373.5,653,7552,7201,15792,24052
COVID-313,2853,1153,3069.5,2913,4336.5,12247,9902.5
COVID-324,2310.5,844,579,9491,5089,18171,22876
COVID-335,5900.5,796,1658,5355.5,4979,10014,20708
COVID-346,1515.5,1091,1000,10138,4803,10312,13408
COVID-484,1366,756.5,1519,10356,4056,14107,6305
COVID-495,2881,757.5,1064,3843.5,3554,6142,7330
COVID-506,2592,6275,2253,5882,3945,22138,14640
COVID-517,2945,1221,1032,5803.5,8852,17687,27383.5
COVID-518,2534,787,722,15487,9497,22391,19301
COVID-529,4930.5,2899,4019.5,5539,8180.5,18217,10000
COVID-540,3093.5,1759,1831.5,27695,5285.5,7656,16789.5
COVID-519,2079,1358.5,1833.5,2066,2118,5447.5,5314.5
COVID-530,1978.5,1589.5,1300,5113.5,11213,7186,33217.5
COVID-541,3296,7506.5,856,7486.5,2407,7413,11011.5
COVID-520,2467,1153,1363,22633.5,5016,16324.5,29574.5
COVID-531,2543,971,1548.5,6784,8892.5,10501,11460.5
COVID-542,2390.5,2142.5,706,2332,4088,6591.5,8535
COVID-521,3207.5,614,1897,3881.5,4930,11701.5,14761
COVID-532,2552,680,544,7082.5,7920,16121,20593
COVID-543,2983,2806.5,2838.5,5783,2478,16482,13766.5
COVID-522,3337.5,4578,1847,4002,6170,4541,17479
COVID-533,3222,672,651,12851.5,12608,22115,8163
COVID-544,5263,2024,3245,8522,6536,15650,16535
COVID-523,17046.5,5707,2210,26842,7894,11331,27580
COVID-534,3523.5,9846.5,3539,14468,4340,4283,24928
COVID-545,4317.5,592,554.5,18517,1113,4963.5,11175.5
COVID-524,2351,1097,626,3842,6767,13664.5,15017
COVID-535,3459.5,796,637,2664,4721,13328,15445
